,artist,track,time,genre,date entered,date peaked,Weeks on Billboard,Top Billboard Rank,Week,Ranking
0,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,28,1.0,1,78.0
1,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,26,1.0,1,15.0
2,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,33,1.0,1,71.0
3,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,24,1.0,1,41.0
4,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,21,1.0,1,57.0
5,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,24,1.0,1,59.0
6,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,32,1.0,1,83.0
7,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,20,1.0,1,63.0
8,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,26,1.0,1,77.0
9,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,55,1.0,1,81.0
10,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,25,1.0,1,82.0
11,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,24,1.0,1,71.0
12,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,41,1.0,1,70.0
13,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,47,1.0,1,84.0
14,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,32,1.0,1,59.0
15,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,39,1.0,1,60.0
16,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,20,1.0,1,82.0
17,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,53,2.0,1,81.0
18,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,30,2.0,1,72.0
19,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,28,2.0,1,99.0
20,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,37,2.0,1,63.0
21,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,32,2.0,1,77.0
22,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,20,2.0,1,51.0
23,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,32,3.0,1,74.0
24,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,53,3.0,1,81.0
25,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,28,3.0,1,74.0
26,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,22,3.0,1,50.0
27,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,28,4.0,1,81.0
28,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,44,4.0,1,94.0
29,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999-10-23,2000-02-12,32,4.0,1,92.0
30,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,23,4.0,1,42.0
