,Store Number,City,Sales,Ave. Sale Price,County Number,Zip Code,Ave. Margin per Liter,Volume Sold(L),Ave. Volume sold(L),Margin,Q1 Sales
0,2106,CEDAR FALLS,146038.7,277.640114068,7,50613,0.93200291898,9719.85,18.4788022814,5.16095057034,39287.29
1,2113,GOWRIE,9310.22,63.334829932,94,50543,3.34916045783,659.85,4.4887755102,5.44510204082,2833.25
2,2130,WATERLOO,111583.91,285.38084399,7,50703,0.595482459321,6879.37,17.5942966752,4.91800511509,24272.57
3,2152,ROCKWELL,7721.08,54.7594326241,17,50469,2.43397240886,633.37,4.4919858156,4.32262411348,2003.46
4,2178,WAUKON,24324.18,102.633670886,3,52172,2.33544533095,1917.12,8.08911392405,4.86886075949,5856.41
5,2190,DES MOINES,121689.06,92.5392091255,77,50314,3.59592114115,6322.17,4.8077338403,5.77425855513,29452.92
6,2191,KEOKUK,125093.49,209.88840604,56,52632,2.79650945567,8053.32,13.5122818792,5.77808724832,29085.57
7,2200,SAC CITY,22811.55,56.6043424318,81,50583,2.972717841,1817.24,4.50928039702,5.62086848635,4900.43
8,2205,CLARINDA,24623.01,85.7944599303,73,51632,2.6034461826,1555.41,5.41954703833,5.08264808362,6407.74
9,2228,WINTERSET,17462.07,72.758625,61,50273,3.60817203226,1367.65,5.69854166667,4.87541666667,5193.97
10,2233,SPIRIT LAKE,29553.34,122.627966805,30,51360,2.63835605141,2480.69,10.2933195021,5.86211618257,5374.55
11,2238,ALTOONA,11762.56,192.828852459,77,50009,2.96367363822,705.75,11.5696721311,6.15901639344,858.61
12,2248,DES MOINES,67682.06,147.134913043,77,50312,2.41488836063,2815.35,6.12032608696,7.53473913043,12663.68
13,2285,IOWA CITY,76927.11,251.395784314,52,52240,1.81542672995,3860.35,12.6155228758,6.82960784314,10019.12
14,2290,STORM LAKE,56289.66,72.0738284251,11,50588,3.13098337075,3620.45,4.63565941101,5.28149807939,12085.15
15,2327,CORNING,10245.14,54.2070899471,2,50841,2.82954722012,822.28,4.35068783069,5.09984126984,2253.6
16,2353,CRESCO,53349.19,147.373453039,45,52136,1.86000742054,4486.65,12.3940607735,5.1429558011,17382.6
17,2367,SHENANDOAH,5010.83,111.351777778,73,51601,1.21205291005,346.75,7.70555555556,4.76,2023.44
18,2413,DUBUQUE,90065.02,187.245363825,31,52001,0.849265596641,6261.29,13.0172349272,5.02654885655,22459.16
19,2445,OAKLAND,7189.48,42.0437426901,78,51560,2.70321312541,571.79,3.34380116959,4.94947368421,1215.08
20,2448,INDIANOLA,17740.7,43.1647201946,91,50125,3.67936763289,1245.53,3.030486618,5.04914841849,5655.92
21,2459,GUTHRIE CENTER,7352.33,68.0771296296,39,50115,1.31416168681,607.24,5.62259259259,4.0262037037,1609.57
22,2460,HAMPTON,33731.76,101.296576577,35,50441,2.00262393228,2782.46,8.35573573574,5.13195195195,6746.61
23,2465,DUBUQUE,25831.8,66.0659846547,31,52003,3.68023438161,1713.2,4.38158567775,5.89792838875,5615.99
24,2475,WEST BEND,10681.07,144.338783784,55,50597,1.31690825826,1044.94,14.1208108108,5.63067567568,5672.76
25,2478,ALTOONA,19840.65,230.705232558,77,50009,2.12528520672,1038.0,12.0697674419,7.01372093023,4459.85
26,2487,ANAMOSA,28900.96,70.6624938875,53,52205,2.61141750774,2547.85,6.22946210269,4.63916870416,7256.6
27,2498,ARLINGTON,2259.67,38.9598275862,33,50606,1.85949835796,230.12,3.9675862069,3.10551724138,279.22
