,Company Name,Job Title,average_salary,city,state
4,Centers for Disease Control and Prevention,Statistician (Health),101553.5,Atlanta,GA
24,Emory University,Epidemiologist,105300.0,Atlanta,GA
35,Centers for Disease Control and Prevention,Health Scientist,120002.5,Atlanta,GA
40,Analytic Recruiting,Junior Data Scientist,82500.0,Alpharetta,GA
42,Centers for Disease Control and Prevention,Behavioral Scientist,85399.0,Atlanta,GA
54,Smith Hanley Associates,Marketing Statistician,87500.0,Atlanta,GA
85,Analytic Recruiting,Senior Data Scientist,112500.0,Atlanta,GA
86,Emory University,Staff Scientist (Goldsmith Lab),85500.0,Atlanta,GA
93,Stackfolio,Lead Data Scientist,80000.0,Atlanta,GA
95,Emory University,"Scientist, Med Imag Analysis",69900.0,Atlanta,GA
115,SearchBankingJobs,Lead Quantitative Analyst,177500.0,Atlanta,GA
141,Georgia Department of Public Health,Laboratory Aide 3,24000.0,Atlanta,GA
156,Emory University,Sponsored Research Financial Analyst,66700.0,Atlanta,GA
187,CSTE,Associate Research Analyst,51706.0,Atlanta,GA
245,Synergy Search Group,Audit Snr (Banking) - Data Analysis 60K-80K,80000.0,Atlanta,GA
348,Analytic Recruiting,Data Scientist - Supply Chain,107500.0,Atlanta,GA
1098,Interesse International Inc,Market Research & Sales Analyst,65000.0,Atlanta,GA
1473,Dashbot.io,Data Engineer and Scientist,170000.0,San Francisco,CA
1548,Nisum Technologies,Big Data Talend Developer,140000.0,San Francisco,CA
1584,Workbridge Associates,Senior Data Scientist (Optimization),150000.0,San Francisco,CA
1591,Workbridge Associates,Sr. Data Scientist,165000.0,San Francisco,CA
1638,Federal Emergency Management Agency,Physical Scientist,96947.0,Oakland,CA
1689,Elevate Recruiting Group,Senior Data Scientist - Security Experience is Huge,170000.0,Redwood City,CA
1818,Workbridge Associates,Machine Learning Engineer,170000.0,San Francisco,CA
1893,Harnham,Senior Data Science Manager,185000.0,San Francisco,CA
1951,Workbridge Associates,Data Engineer (Python),150000.0,San Francisco,CA
2044,Bayone Solutions Inc.,Data Scientist - Recommendation Engine,160000.0,San Francisco,CA
2121,Workbridge Associates,Lead Data Analyst (Machine Learning Operations) - Autonomous...,155000.0,Berkeley,CA
2205,Workbridge Associates,iOS Learning Application,135000.0,San Francisco,CA
2269,Smith Hanley Associates,Senior Data Scientist,100000.0,San Jose,CA
2301,TERADEEP INC.,Machine Learning / Deep Learning Internship(s),60000.0,Campbell,CA
2334,Better Staffing Solutions,Corpus Linguist,190000.0,Santa Clara,CA
2391,Workbridge Associates,Senior Data Scientist,150000.0,San Jose,CA
2402,Phoenix 2.0,Big Data Engineer,175000.0,Palo Alto,CA
2477,TEEMA Solutions Group Inc.,Machine Learning Engineer,175000.0,Mountain View,CA
2507,Tetration Analytics,Senior Software Engineer - API,140000.0,Palo Alto,CA
2557,EOS DA,Director Business Development,165000.0,Menlo Park,CA
2584,EOS DA,Entry Level GIS Technician,62500.0,Menlo Park,CA
2678,Tandem Recruiting Group,Senior Machine Learning Scientist,200000.0,Santa Clara,CA
2708,Workbridge Associates,Lead Data Scientist,165000.0,San Jose,CA
2735,Intechriti,Data Scientist (IoT Network Security),160000.0,San Jose,CA
2775,Umpqua Bank,Pivotus Ventures - Data Scientist - Palo Alto,130000.0,Palo Alto,CA
2799,Jobspring Partners,Machine Learning Engineer,160000.0,San Jose,CA
2899,Workbridge Associates,Data Scientist,100000.0,Palo Alto,CA
2964,Workbridge Associates,Big Data Engineer,135000.0,San Jose,CA
4329,Jobspring Partners,Principal Scientist - ML,190000.0,San Jose,CA
4344,Jobspring Partners,Head of Data Science,205000.0,San Jose,CA
4473,Wade & Wendy,Wade & Wendy_Data Scientist/Engineer,100000.0,New York,NY
4502,Harnham,Senior Data Scientist - Bio-tech,170000.0,New York,NY
4505,Selby Jennings,Senior Data Scientist,165000.0,New York,NY
4507,Beeswax,Senior / Director Data Science,147500.0,New York,NY
4508,Harnham,Senior Data Scientist,200000.0,New York,NY
4533,CONSUMER AFFAIRS,"Modeler/Data Scientist, Policy and Strategy",65977.0,Manhattan,NY
4536,Selby Jennings,Senior Data Scientist - Quantitative Solutions,160000.0,New York,NY
4538,Oliver James Associates,"Program Manager - Data Science - New York City - $165,000",165000.0,New York,NY
4540,HRA/DEPT OF SOCIAL SERVICES,DATA ANALYST,59984.5,Manhattan,NY
4546,Averity,Sr. Statistician for Fortune 500 Company,110000.0,New York,NY
4547,Harris Allied,Quantitative Research/Data Analyst,140000.0,New York,NY
4567,Reed Elsevier,"Commercial Director, Life Science",300000.0,New York,NY
4576,DEPARTMENT OF FINANCE,Policy Data Analyst,74119.5,Manhattan,NY
4583,DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of the Public Health Laborat...",76941.5,Manhattan,NY
4607,Animalz,Research Analyst,40000.0,New York,NY
4626,Selby Jennings,Quantitative Researcher – Machine Learning,225000.0,New York,NY
4637,NYC Department of Buildings,"Research Analyst, Risk",68908.5,Manhattan,NY
4643,DEPT OF HEALTH/MENTAL HYGIENE,"Quality Assurance Analyst, Bureau of Vital Statistics",65977.0,Manhattan,NY
4660,Averity,Quantitative Research Analyst for Multi-Billion Dollar Hedge...,175000.0,New York,NY
4666,Averity,Senior Data Scientist,150000.0,New York,NY
4704,DEPT OF ENVIRONMENT PROTECTION,Water Quality Analyst,79249.5,New York,NY
4728,DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst, Bureau of Mental Health/Research and Evaluatio...",79249.5,New York,NY
4732,Pro Partners Staffing,Investment Advisory Research Analyst,90000.0,New York,NY
4749,Nathan S. Kline Institute,Post-Doctoral Scientist (Analytical Psychopharmacology Depar...,25000.0,Orangeburg,NY
4761,Averity,"Data Scientist, Quant Developer for $10B Asset Manager",135000.0,New York,NY
4764,Averity,"Senior Data Scientist for Innovative, Top-Ranked Global Comp...",110000.0,New York,NY
4772,StreetID,Quantitative Analyst,120000.0,New York,NY
4775,Selby Jennings,Quantitative Analyst - Multiple Vacancies,120000.0,New York,NY
4776,DEPT OF HEALTH/MENTAL HYGIENE,"Panel Maintenance Analyst, World Trade Center Health Registr...",65977.0,Manhattan,NY
4778,Averity,Lead Data Scientist,130000.0,New York,NY
4787,Averity,Senior Data Scientist for Global Travel Company,110000.0,New York,NY
4792,"NewAgeSys,Inc",Scientist,45000.0,Parsippany,NJ
4808,Smith Hanley Associates,Director of Data Science,150000.0,New York,NY
4824,Selby Jennings,Statistical Modeler | FinTech,112500.0,New York,NY
4834,New York City Department of Health and Mental Hygi...,Senior Analyst (Biostatistician or Epidemiologist),88331.0,Long Island City,NY
4867,OFFICE OF MANAGEMENT & BUDGET,POLICY AND OPERATIONS RESEARCH | ANALYST,78510.5,Manhattan,NY
4883,Spencer Ogden,Equity Research Analyst - Power & Utilities,115000.0,New York,NY
4896,DEPT OF ENVIRONMENT PROTECTION,Water Demand Projections Manager,65977.0,New York,NY
4900,Averity,Senior Systematic Quantitative Analyst - Multi-billion Dolla...,200000.0,New York,NY
4924,DEPT OF ENVIRONMENT PROTECTION,City Research Scientist,79249.5,New York,NY
4952,Winston Fox,Senior Software Development Engineer,200000.0,New York,NY
4955,DEPT OF ENVIRONMENT PROTECTION,Policy Analyst,65977.0,New York,NY
5001,Selby Jennings,VP Quantitative Analyst - Multiple Vacancies,130000.0,New York,NY
5032,HRA/DEPT OF SOCIAL SERVICES,SENIOR RESEARCH ASSOCIATE,84315.0,Manhattan,NY
5034,Scienaptic Systems Inc,Data Scientist,100000.0,New York,NY
5042,Green Key Resources,Research Analyst,80000.0,New York,NY
5049,Averity,Lead Data Scientist - Top Data Consultancy,140000.0,New York,NY
5071,Centers for Disease Control and Prevention,Health Scientist,117437.5,New York,NY
5085,Smith Arnold Partners,Research Analyst,57500.0,New York,NY
5094,Averity,Tableau Developer for Global Organization,80000.0,New York,NY
5101,DEPT OF INFO TECH & TELECOMM,Manager of Statistical Data,79025.5,Manhattan,NY
5107,Averity,Lead Data Scientist (New Jersey),150000.0,New York,NY
5122,Selby Jennings,FTR Quantitative Risk Analyst,135000.0,New York,NY
5130,HOUSING PRESERVATION & DVLPMNT,Technical Researcher,70286.0,New York,NY
5206,"NewAgeSys,Inc",Chemist,50000.0,Kenilworth,NJ
5209,POLICE DEPARTMENT,Data Analytics Research Scientist,79249.5,New York,NY
5228,Oscar Technology,Jr Data Scientist - Healthcare/Insurance,110000.0,Jacksonville,FL
5922,University of Miami,Assistant Scientist,75400.0,Coral Gables,FL
5924,University of Miami,Statistical Programmer,32900.0,Coral Gables,FL
5928,University of Miami,(Temporary) Research Analyst,50375.0,Coral Gables,FL
5941,University of Miami,Sr. Research Analyst,56000.0,Coral Gables,FL
5942,University of Miami,Research Analyst,46000.0,Coral Gables,FL
5943,University of Miami,Scientist,108600.0,Coral Gables,FL
5945,The Bachrach Group,Quantitative Financial Analyst,80000.0,Miami Lakes,FL
5946,University of Miami,Lead Research Analyst (Biostatistics),93100.0,Coral Gables,FL
5955,University of Miami,Assistant Scientist/Postdoctoral Associate,59450.0,Coral Gables,FL
5956,Smith Hanley Associates,Statistical Operations Research Analyst,85000.0,Miami,FL
5959,University of Miami,(Temporary) Research Laboratory Technician,38400.0,Coral Gables,FL
5961,University of Miami,Sr. Research Analyst / Pre-award Grants,56000.0,Coral Gables,FL
6002,University of Miami,Financial Analyst (Clinical Research Revenue),44875.0,Coral Gables,FL
6654,Identifize Consulting,Superstar Senior Quantitative Finance Analyst,175000.0,Charlotte,NC
6680,Selby Jennings,Quantitative Analyst - Multiple Vacancies,150000.0,Charlotte,NC
6694,Selby Jennings,SVP Quantitative Analyst - Multiple Vacancies,150000.0,Charlotte,NC
6700,Selby Jennings,Quantitative Financial Analyst - VP,150000.0,Charlotte,NC
6711,Selby Jennings,Senior Quantitative Analyst - Credit Risk,135000.0,Charlotte,NC
6716,Selby Jennings,Quantitative Credit Risk Analyst,150000.0,Charlotte,NC
6728,Conclusive Marketing,Senior Database Developer,105000.0,Huntersville,NC
7361,Federal Bureau of Investigation,Computer Scientist GS 13 (Ext),105969.5,Washington,DC
7376,Analytic Recruiting,Statistician,112500.0,Washington,DC
7377,GWU - ECE Department,Post-Doctoral Scientist,46000.0,Washington,DC
7380,Analytic Recruiting,Data Analyst – Junior Data Scientist,77500.0,Washington,DC
7390,TULKORP.,Computer Vision Scientist 2,135000.0,Alexandria,VA
7393,Office of the State Superintendent of Education,Education Research Analyst,92736.5,Washington,DC
7395,Federal Aviation Administration,Operations Research Analyst,98670.5,Washington,DC
7398,Selby Jennings,Associate Data Science,137500.0,Washington,DC
7458,Fairfax County Government,Research Assistant - Management Analyst ...,66164.0,Fairfax,VA
7479,All-In Analytics,Sr. Market Risk Data Scientist,107500.0,Washington,DC
7487,Dept of Forensic Sciences,Forensic Scientist III (Crime Scene / Crime Scene Analyst),100306.5,Washington,DC
7508,Central Intelligence Agency,Applications Developer,86213.0,Washington,DC
7544,All-In Analytics,Lead Market Risk Data Scientist,112500.0,Washington,DC
7559,U.S. Department of Labor,Research Statistician,98642.0,Washington,DC
7563,"Elite Technical Services, Inc.",Data Architect and Engineering,155000.0,Washington,DC
7571,Piper Clinical Solutions,Bioinformatics Scientist,130000.0,Bethesda,MD
7584,Central Intelligence Agency,Data Scientist,111319.0,Washington,DC
7586,Prince George's Community College,"Research Analyst, Institutional Research and Reporting",63863.0,Largo,MD
7620,Dept of Forensic Sciences,Forensic Scientist II (Fingerprint Analyst),86711.0,Washington,DC
7623,Workbridge Associates,Senior Data Scientist,115000.0,Alexandria,VA
7648,Selby Jennings,Senior Quantitative Analyst - Credit Risk,120000.0,Washington,DC
7659,Legal Services Corporation,Research Project Coordinator and Data Analyst,95041.5,Washington,DC
7689,The Wallach Search Group,Project Delivery Specialist,150000.0,Washington,DC
7846,Spectrum Careers,Data Scientist,130000.0,Washington,DC
7890,Centers for Disease Control and Prevention,Health Scientist,117437.5,Washington,DC
7906,Cardinal Consulting Group,Data Architect,65000.0,Washington,DC
7916,Central Intelligence Agency,Open Source Officer,76169.5,Washington,DC
8052,WSSC,Principal Environmental Engineer,93986.5,Laurel,MD
8082,"ADNET Systems, Inc.",Earth Data Support Scientist - GD100,75000.0,Greenbelt,MD
8139,King County,Environmental Laboratory Scientist II,81078.0,Seattle,WA
8141,Dynamic Staffing Inc.,Data Scientist-Software Engineer,125000.0,Seattle,WA
8208,"G2 Web Services, LLC",Research and Investigation Analyst,35000.0,Bellevue,WA
